Date,SP_Open,SP_High,SP_Low,SP_Close,SP_Volume,Vix_Open,Vix_High,Vix_Low,Vix_Close
9/29/16,2168.9,2172.67,2145.2,2151.13,4249220000,12.53,15.69,12.14,14.02
9/28/16,2161.85,2172.4,2151.79,2171.37,3891460000,12.9,13.57,12.24,12.39
9/27/16,2146.04,2161.13,2141.55,2159.93,3437770000,13.36,14.76,12.97,13.1
9/26/16,2158.54,2158.54,2145.04,2146.1,3216170000,13.26,14.63,13.26,14.5
9/23/16,2173.29,2173.75,2163.97,2164.69,3317190000,12,12.58,11.93,12.29
9/22/16,2170.94,2179.99,2170.94,2177.18,3552830000,13.39,13.39,11.76,12.02
9/21/16,2144.58,2165.11,2139.57,2163.12,3712090000,15.07,15.65,12.98,13.3
9/20/16,2145.94,2150.8,2139.17,2139.76,3140730000,14.98,16.09,14.69,15.92
9/19/16,2143.99,2153.61,2135.91,2139.12,3163000000,15.14,15.96,14.6,15.53
9/16/16,2146.48,2146.48,2131.2,2139.16,5014360000,16.41,17.1,15.28,15.37
9/15/16,2125.36,2151.31,2122.36,2147.26,3373720000,17.97,18.07,15.74,16.3
9/14/16,2127.86,2141.33,2119.9,2125.77,3664100000,17.63,18.14,16.34,18.14
9/13/16,2150.47,2150.47,2120.27,2127.02,4141670000,15.98,18.97,15.83,17.85
9/12/16,2120.86,2163.3,2119.12,2159.04,4010480000,20.13,20.51,14.76,15.16
9/9/16,2169.08,2169.08,2127.81,2127.81,4233960000,12.52,17.54,12.52,17.5
9/8/16,2182.76,2184.94,2177.49,2181.3,3727840000,11.74,12.6,11.65,12.51
9/7/16,2185.17,2187.87,2179.07,2186.16,3319420000,11.89,12.45,11.77,11.94
9/6/16,2181.61,2186.57,2175.1,2186.48,3447650000,12.42,12.93,11.85,12.02
9/2/16,2177.49,2184.87,2173.59,2179.98,3091120000,13.47,13.9,11.9,11.98
9/1/16,2171.33,2173.56,2157.09,2170.86,3392120000,13.07,14.61,12.99,13.48
8/31/16,2173.56,2173.79,2161.35,2170.95,3766390000,13.14,14.34,12.97,13.42
8/30/16,2179.45,2182.27,2170.41,2176.12,3006800000,12.94,13.6,12.7,13.12
8/29/16,2170.19,2183.48,2170.19,2180.38,2654780000,14.09,14.43,12.9,12.94
8/26/16,2175.1,2187.94,2160.39,2169.04,3342340000,13.54,14.93,12.13,13.65
8/25/16,2173.29,2179,2169.74,2172.47,2969310000,13.62,14.09,13.29,13.63
8/24/16,2185.09,2186.66,2171.25,2175.44,3148280000,12.7,14.01,12.3,13.45
8/23/16,2187.81,2193.42,2186.8,2186.9,3041490000,12.15,12.44,11.72,12.38
8/22/16,2181.58,2185.15,2175.96,2182.64,2777550000,12.53,13.02,11.94,12.27
8/19/16,2184.24,2185,2175.13,2183.87,3084800000,11.67,12.28,11.33,11.34
8/18/16,2181.9,2187.03,2180.46,2187.02,3300570000,12.2,12.53,11.42,11.43
8/17/16,2177.84,2183.08,2168.5,2182.22,3388910000,12.57,13.71,12.14,12.19
8/16/16,2186.24,2186.24,2178.14,2178.15,3196400000,12.04,12.78,11.87,12.64
8/15/16,2186.08,2193.81,2186.08,2190.15,3078530000,11.81,12.17,11.58,11.81
8/12/16,2183.74,2186.28,2179.42,2184.05,3000660000,11.61,12,11.28,11.55
8/11/16,2177.97,2188.45,2177.97,2185.79,3423160000,11.93,12.11,11.38,11.68
8/10/16,2182.81,2183.41,2172,2175.49,3254950000,11.55,12.5,11.37,12.05
8/9/16,2182.24,2187.66,2178.61,2181.74,3334300000,11.4,11.92,11.02,11.66
8/8/16,2183.76,2185.44,2177.85,2180.89,3327550000,11.66,11.78,11.41,11.5
8/5/16,2168.79,2182.87,2168.79,2182.87,3663070000,12.08,12.26,11.18,11.39
8/4/16,2163.51,2168.19,2159.07,2164.25,3709200000,12.73,12.98,11.79,12.42
8/3/16,2156.81,2163.79,2152.56,2163.79,3786530000,13.53,13.91,12.73,12.86
8/2/16,2169.94,2170.2,2147.58,2157.03,3848750000,12.39,14.24,12.35,13.37
8/1/16,2173.15,2178.29,2166.21,2170.84,3505990000,11.89,12.98,11.86,12.44
7/29/16,2168.83,2177.09,2163.49,2173.6,4038840000,12.85,12.9,11.77,11.87
7/28/16,2166.05,2172.85,2159.74,2170.06,3664240000,12.51,13.52,12.36,12.72
7/27/16,2169.81,2174.98,2159.07,2166.58,3995500000,12.61,13.74,12.5,12.83
7/26/16,2168.97,2173.54,2160.18,2169.18,3442350000,12.88,13.5,12.8,13.05
7/25/16,2173.71,2173.71,2161.95,2168.48,3057240000,12.64,13.72,12.39,12.87
7/22/16,2166.47,2175.11,2163.24,2175.03,3023280000,12.8,12.88,11.97,12.02
7/21/16,2172.91,2174.56,2159.75,2165.17,3438900000,11.8,13.06,11.69,12.74
7/20/16,2166.1,2175.63,2164.89,2173.02,3211860000,11.94,11.97,11.4,11.77
7/19/16,2163.79,2164.63,2159.01,2163.78,2968340000,12.53,12.83,11.94,11.97
7/18/16,2162.04,2168.35,2159.63,2166.89,3009310000,12.75,13.12,12.33,12.44
7/15/16,2165.13,2169.05,2155.79,2161.74,3122600000,13.12,13.22,12.27,12.67
7/14/16,2157.88,2168.99,2157.88,2163.75,3465610000,12.5,13.37,12.14,12.82
7/13/16,2153.81,2156.45,2146.21,2152.43,3502320000,13.32,13.79,12.92,13.04
7/12/16,2139.5,2155.4,2139.5,2152.14,4097820000,12.93,13.93,12.75,13.55
7/11/16,2131.72,2143.16,2131.72,2137.16,3253340000,13.25,13.67,13,13.54
7/8/16,2106.97,2131.71,2106.97,2129.9,3607500000,14.64,14.75,13.19,13.2
7/7/16,2100.42,2109.08,2089.39,2097.9,3604550000,14.8,15.98,14.33,14.76
7/6/16,2084.43,2100.72,2074.02,2099.73,3909380000,15.87,17.04,14.96,14.96
7/5/16,2095.05,2095.05,2080.86,2088.55,3658380000,16.05,16.62,15.49,15.58
7/1/16,2099.34,2108.71,2097.9,2102.95,3458890000,15.59,15.86,14.61,14.77
6/30/16,2073.17,2098.94,2070,2098.86,4622820000,16.91,16.99,15.29,15.63
6/29/16,2042.69,2073.13,2042.69,2070.77,4241740000,18.12,18.27,16.48,16.64
6/28/16,2006.67,2036.09,2006.67,2036.09,4385810000,21.76,22.07,18.75,18.75
6/27/16,2031.45,2031.45,1991.68,2000.54,5431220000,24.38,26.72,22.93,23.85
6/24/16,2103.81,2103.81,2032.57,2037.41,7597449600,26.06,26.24,19.48,25.76
6/23/16,2092.8,2113.32,2092.8,2113.32,3297940000,19.54,19.79,17.25,17.25
6/22/16,2089.75,2099.71,2084.36,2085.45,3168160000,18.26,21.22,17.83,21.17
6/21/16,2085.19,2093.66,2083.02,2088.9,3232880000,17.67,18.96,16.91,18.48
6/20/16,2075.58,2100.66,2075.58,2083.25,3467440000,17.42,18.55,16.59,18.37
6/17/16,2078.2,2078.2,2062.84,2071.22,4952630000,19.42,20.03,18.71,19.41
6/16/16,2066.36,2079.62,2050.37,2077.99,3628280000,20.8,22.89,19.24,19.37
6/15/16,2077.6,2085.65,2069.8,2071.5,3544720000,20.25,20.45,18.63,20.14
6/14/16,2076.65,2081.3,2064.1,2075.32,3759770000,21.28,22.16,20.27,20.5
6/13/16,2091.75,2098.12,2078.46,2079.06,3392030000,18.24,21.01,17.89,20.97
6/10/16,2109.57,2109.57,2089.96,2096.07,3515010000,14.89,17.33,14.85,17.03
6/9/16,2115.65,2117.64,2107.73,2115.48,3290320000,14.01,14.85,13.99,14.64
6/8/16,2112.71,2120.55,2112.71,2119.12,3562060000,13.84,14.27,13.7,14.08
6/7/16,2110.18,2119.22,2110.18,2112.13,3534730000,12.77,14.05,12.72,14.05
6/6/16,2100.83,2113.36,2100.83,2109.41,3442020000,13.84,14.27,13.42,13.65
6/3/16,2104.07,2104.07,2085.36,2099.13,3627780000,13.78,14.66,12.9,13.47
6/2/16,2097.71,2105.26,2088.59,2105.26,3632720000,14.42,14.92,13.62,13.63
6/1/16,2093.94,2100.97,2085.1,2099.33,3525170000,14.45,15.25,14.18,14.2
5/31/16,2100.13,2103.48,2088.66,2096.95,4514410000,13.94,15,13.45,14.19
5/27/16,2090.06,2099.06,2090.06,2099.06,3079150000,13.49,13.76,13.04,13.12
5/26/16,2091.44,2094.3,2087.08,2090.1,3230990000,13.8,14.11,13.43,13.43
5/25/16,2078.93,2094.73,2078.93,2090.54,3859160000,14.19,14.33,13.64,13.9
